zip_code,non_payment,Breach,Nuisance,Illegal_Use,Failure to Sign Renewal,Access Denial,Unapproved Subtenant,Owner Move-in,Demolition,Capital Improvement,Substantial Rehab,Ellis Act Withdrawal,Condo Conversion,Roommate Same Unit,Other Cause,Late Payments,Lead Remediation,Development
sf94102,101,410,501,40,1,14,8,24,3,13,0,13,4,2,14,52,2,0
sf94103,64,342,307,38,1,7,13,39,81,19,0,106,0,7,23,34,0,338
sf94104,0,4,6,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
sf94105,7,11,2,1,0,0,1,0,1,0,0,0,0,0,2,2,0,0
sf94107,31,57,39,9,1,2,0,66,14,5,0,34,3,9,17,9,0,0
sf94108,14,97,61,12,0,4,13,5,1,21,0,21,0,1,6,17,0,0
sf94109,100,440,428,93,6,15,18,69,2,78,0,116,3,10,26,62,1,0
sf94110,107,486,372,46,5,21,37,361,56,59,6,281,9,68,60,78,1,1
sf94111,0,15,20,1,0,0,0,3,0,0,0,0,0,0,2,1,0,0
sf94112,116,296,189,69,6,21,15,282,87,9,0,59,0,63,87,75,0,0
sf94114,27,192,144,24,1,4,13,174,14,15,0,111,14,24,27,48,0,0
sf94115,34,212,133,25,5,10,7,100,4,35,0,54,8,12,17,37,0,0
sf94116,26,122,89,16,0,6,1,160,56,0,0,35,0,18,13,33,1,0
sf94117,64,293,203,31,6,18,15,175,14,46,1,110,7,39,19,68,1,0
sf94118,31,199,125,12,1,3,12,198,12,21,0,102,1,22,22,40,0,1
sf94119,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sf94121,57,217,154,31,1,8,15,193,17,12,0,106,3,16,26,46,0,0
sf94122,63,252,189,12,0,9,15,247,46,19,0,118,5,22,43,51,0,0
sf94123,24,207,121,27,0,2,4,100,4,18,0,22,5,10,11,27,0,0
sf94124,102,154,102,13,11,32,4,73,11,2,0,11,0,22,54,32,0,0
sf94127,10,36,19,3,1,3,2,42,8,1,0,4,0,24,15,12,0,0
sf94129,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sf94130,1,14,13,0,0,0,1,0,0,0,0,0,0,3,3,0,0,0
sf94131,37,123,80,16,0,1,6,94,7,15,0,63,4,12,10,25,0,0
sf94132,17,850,64,5,3,8,1,32,13,241,0,4,0,5,14,15,0,0
sf94133,46,269,148,39,16,2,14,77,8,57,0,122,8,13,12,31,0,0
sf94134,67,124,79,13,1,12,4,109,22,3,0,17,0,21,34,29,0,0
sf94158,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0